Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
TimLocastro,Diamondbacks,91,250,1,38,17,17,5.60%,17.60%,0.09,0.31,0.25,0.357,0.34,0.314,91,84.4,5.2,2.2,-0.9,0.9,15124
JakeCave,Twins,72,228,8,28,25,0,9.20%,31.10%,0.197,0.358,0.258,0.351,0.455,0.343,113,90.5,0.7,4.6,-3.2,0.9,14477
EnderInciarte,Braves,65,230,5,30,24,7,11.30%,17.80%,0.151,0.286,0.246,0.343,0.397,0.318,93,83,2.6,0.6,1.4,0.9,4922
AdamHaseley,Phillies,67,242,5,30,26,4,5.80%,24.80%,0.131,0.344,0.266,0.324,0.396,0.309,88,87.3,1.5,-2.4,4,0.9,19878
AJPollock,Dodgers,86,342,15,49,47,5,6.70%,21.60%,0.201,0.3,0.266,0.327,0.468,0.333,108,90.6,1.9,5.5,-7.2,0.9,9256
AustinHays,Orioles,21,75,4,12,13,2,9.30%,17.30%,0.265,0.333,0.309,0.373,0.574,0.393,146,91,1.1,5.5,1.2,0.9,19363
StephenVogt,Giants,99,280,10,30,40,3,7.10%,23.60%,0.227,0.311,0.263,0.314,0.49,0.331,107,89.8,0.3,2.8,-2.8,0.9,5000
BenGamel,Brewers,134,356,7,47,33,2,11.20%,29.20%,0.125,0.347,0.248,0.337,0.373,0.308,87,88.2,2.5,-3.7,1,0.9,12160
AustinRomine,Yankees,73,240,8,29,35,1,4.20%,20.80%,0.158,0.327,0.281,0.31,0.439,0.315,95,88.6,-2.2,-3.6,3.9,0.9,5491
AdamEngel,White Sox,89,248,6,26,26,3,5.60%,31.50%,0.141,0.343,0.242,0.304,0.383,0.296,84,86.4,1.6,-3.5,3.4,0.8,15082
ChadPinder,Athletics,124,370,13,45,47,0,5.40%,23.80%,0.176,0.284,0.24,0.29,0.416,0.298,87,90.9,-1.5,-7.7,3.1,0.8,15191
DominicSmith,Mets,89,197,11,35,25,1,9.60%,22.30%,0.243,0.32,0.282,0.355,0.525,0.368,133,88.3,-1.6,6.9,-4.8,0.8,15653
MikeFord,Yankees,50,163,12,30,25,0,10.40%,17.20%,0.301,0.243,0.259,0.35,0.559,0.372,134,91.9,0.3,7.4,-4.8,0.8,15585
RobbieGrossman,Athletics,138,482,6,57,38,9,12.20%,17.80%,0.107,0.288,0.24,0.334,0.348,0.299,88,87.7,0,-7.6,-1.1,0.8,5254
DelinoDeShields,Rangers,118,408,4,42,32,24,9.30%,24.50%,0.098,0.333,0.249,0.325,0.347,0.295,72,86.9,4.8,-9.7,3.5,0.8,11379
YanGomes,Nationals,97,358,12,36,43,2,10.60%,23.50%,0.166,0.265,0.223,0.316,0.389,0.298,79,87.6,-2.1,-12,8.4,0.8,9627
StevenBrault,Pirates,34,50,1,8,2,0,2.00%,16.00%,0.095,0.394,0.333,0.349,0.429,0.332,105,85.1,0,0.3,6.1,0.8,15291
RobinsonCano,Mets,107,423,13,46,39,0,5.90%,16.30%,0.172,0.28,0.256,0.307,0.428,0.308,93,90.9,-2.3,-6.1,0.3,0.8,3269
MartinMaldonado,- - -,105,374,12,46,27,0,8.60%,23.00%,0.165,0.25,0.213,0.293,0.378,0.288,76,88.2,-3.1,-14.6,9.3,0.8,6887
NickSenzel,Reds,104,414,12,55,42,14,7.20%,24.40%,0.171,0.319,0.256,0.315,0.427,0.315,90,87.7,-0.4,-6,0.2,0.7,19293
LaneThomas,Cardinals,34,44,4,6,12,1,9.10%,18.20%,0.368,0.308,0.316,0.409,0.684,0.445,181,91.7,-0.1,4.6,1.6,0.7,16939
AdeinyHechavarria,- - -,84,221,9,34,33,3,6.30%,21.70%,0.202,0.272,0.241,0.299,0.443,0.312,93,87.6,0.7,-1.3,1.6,0.7,10459
TuckerBarnhart,Reds,114,364,11,32,40,1,12.10%,22.80%,0.149,0.278,0.231,0.328,0.38,0.301,81,86.4,-3.5,-12.8,8.6,0.7,10200
AdamDuvall,Braves,41,130,10,17,19,0,5.40%,30.00%,0.3,0.306,0.267,0.315,0.567,0.36,121,91.1,1.1,4.7,-1.4,0.7,10950
AnthonySantander,Orioles,93,405,20,46,59,1,4.70%,21.20%,0.216,0.285,0.261,0.297,0.476,0.321,97,89.9,-0.2,-1.6,-5.3,0.7,14551
SethBrown,Athletics,26,83,0,11,13,1,8.40%,27.70%,0.16,0.423,0.293,0.361,0.453,0.347,120,89,-0.1,2,2.5,0.7,18171
AustinBarnes,Dodgers,75,242,5,28,25,3,9.50%,23.10%,0.137,0.248,0.203,0.293,0.34,0.272,68,87.2,-0.9,-11.1,10.6,0.7,12158
AustinSlater,Giants,68,192,5,20,21,1,11.50%,30.70%,0.179,0.337,0.238,0.333,0.417,0.32,100,88.7,1.7,1.6,-0.6,0.7,16153
ShedLong,Mariners,42,168,5,21,15,3,9.50%,23.80%,0.191,0.327,0.263,0.333,0.454,0.333,111,87.6,1.1,3.5,-2.3,0.7,16542
