Player,,,PA,R_prod,WAR/pos,dWAR,oWAR,WPA,BtRuns,Year,Age,Tm,Lg,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
JonathanLucroy,,lucrojo01,328,58,-1,-0.5,-0.1,-1.838,-10,2019,33,TOT,ML,101,293,30,68,10,1,8,36,27,1,51,5,0,3,17,0,0,0.232,0.305,0.355,0.66,*2/3HD
GarrettHampson,,hampsga01,327,59,0.3,0.3,0.2,-0.95,-17,2019,24,COL,NL,105,299,40,74,9,4,8,27,24,1,88,0,2,2,2,15,3,0.247,0.302,0.385,0.686,48H6/7
BrandonLowe,,lowebr01,327,76,2.6,0.1,2.7,0.893,10,2019,24,TBR,AL,82,296,42,80,17,2,17,51,25,0,113,5,0,1,1,5,0,0.27,0.336,0.514,0.85,*4/H39D7
CarlosCorrea,,correca01,321,80,3.5,1.2,2.7,0.882,16,2019,24,HOU,AL,75,280,42,78,16,1,21,59,35,0,75,2,0,4,8,1,0,0.279,0.358,0.568,0.926,*6
TommyLaStella,,lasteto01,321,77,2,-0.1,2.2,-0.075,7,2019,30,LAA,AL,80,292,49,86,8,0,16,44,20,0,28,3,0,0,8,0,0,0.295,0.346,0.486,0.832,*45/H3D
JakeMarisnick,,marisja01,318,70,1.4,0.9,0.7,-1.205,-9,2019,28,HOU,AL,120,292,46,68,16,3,10,34,17,0,95,6,3,0,6,10,3,0.233,0.289,0.411,0.7,*8H/D
BrianMcCann,,mccanbr01,316,61,0.2,0.2,0.5,0.682,-6,2019,35,ATL,NL,85,277,28,69,9,0,12,45,31,1,53,2,0,6,10,0,0,0.249,0.323,0.412,0.734,*2/H
HunterPence,,pencehu01,316,94,1.6,-0.9,2,1.458,11,2019,36,TEX,AL,83,286,53,85,17,1,18,59,26,0,69,2,0,2,2,6,1,0.297,0.358,0.552,0.91,*D7H/9
TylerFlowers,,flowety01,310,59,-0.3,-0.4,0.6,-1.422,-6,2019,33,ATL,NL,85,271,36,62,11,3,11,34,31,3,105,6,0,2,8,0,0,0.229,0.319,0.413,0.733,*2/H
RichieMartin,,martiri01,309,46,-1.3,-0.8,0,-1.262,-20,2019,24,BAL,AL,120,283,29,59,8,3,6,23,14,0,83,6,5,1,6,10,1,0.208,0.26,0.322,0.581,*6/HD
KurtSuzuki,,suzukku01,309,83,0.3,-0.6,1.4,0.936,0,2019,35,WSN,NL,85,280,37,74,11,0,17,63,20,1,36,6,0,3,10,0,1,0.264,0.324,0.486,0.809,*2H
DerekDietrich,,dietrde01,306,65,1,-0.1,1,0.13,0,2019,29,CIN,NL,113,251,41,47,8,2,19,43,28,2,74,25,0,1,2,1,1,0.187,0.328,0.462,0.79,*4H37/D5
GerardoParra,,parrage01,301,77,0.7,0.3,0,0.316,-11,2019,32,TOT,NL,119,274,38,64,14,1,9,48,19,3,59,5,1,2,7,8,3,0.234,0.293,0.391,0.684,H9738/415
JoeyGallo,,gallojo01,297,81,3.1,0.5,2.5,0.587,17,2019,25,TEX,AL,70,241,54,61,15,1,22,49,52,4,114,2,1,1,0,4,2,0.253,0.389,0.598,0.986,*87/D
AustinRiley,,rileyau01,297,72,0.1,0.1,-0.2,0.776,-7,2019,22,ATL,NL,80,274,41,62,11,1,18,49,16,3,108,5,0,2,4,0,2,0.226,0.279,0.471,0.75,*7H/359D
PabloSandoval,,sandopa01,296,69,1.5,-0.1,1.5,0.667,6,2019,32,SFG,NL,108,272,42,73,23,0,14,41,18,2,67,1,2,3,8,1,0,0.268,0.313,0.507,0.82,H53/D1
MikeTauchman,,tauchmi01,296,80,3.8,1.6,2,0.689,11,2019,28,NYY,AL,87,260,46,72,18,1,13,47,34,0,71,1,0,1,9,6,0,0.277,0.361,0.504,0.865,*798/H
ByronBuxton,,buxtoby01,295,84,3.1,1.3,2.1,0.794,5,2019,25,MIN,AL,87,271,48,71,30,4,10,46,19,1,68,2,2,1,3,14,3,0.262,0.314,0.513,0.827,*8/HD
RonaldGuzman,,guzmaro01,295,60,0,0.1,-0.5,-0.155,-7,2019,24,TEX,AL,87,256,34,56,20,0,10,36,32,1,87,3,0,4,7,1,2,0.219,0.308,0.414,0.723,*3/HD
BrockHolt,,holtbr01,295,66,1.4,0.4,1.1,0.296,2,2019,31,BOS,AL,87,259,38,77,14,2,3,31,28,1,57,4,0,4,4,1,0,0.297,0.369,0.402,0.771,*4H3/6975D
TylerNaquin,,naquity01,294,58,1.5,0.6,0.6,-0.085,1,2019,28,CLE,AL,89,274,34,79,19,0,10,34,14,2,66,2,2,2,8,4,2,0.288,0.325,0.467,0.792,*97H/D
RonnyRodriguez,,rodriro03,294,58,-0.6,-0.6,0.1,-1.448,-11,2019,27,DET,AL,84,276,29,61,12,3,14,43,13,0,82,0,0,5,5,3,1,0.221,0.252,0.438,0.69,46H3/D57
VictorReyes,,reyesvi01,292,51,1.2,0.2,1.1,0.168,0,2019,24,DET,AL,69,276,29,84,16,5,3,25,14,0,64,0,0,2,5,9,3,0.304,0.336,0.431,0.767,*87/9H
MikeZunino,,zuninmi01,289,53,-0.2,1,-0.7,-1.883,-22,2019,28,TBR,AL,90,266,30,44,10,1,9,32,20,0,98,3,0,0,4,0,0,0.165,0.232,0.312,0.544,*2/H
DawelLugo,,lugoda01,288,48,-0.5,-0.2,-0.2,-1.6,-13,2019,24,DET,AL,77,273,28,67,11,4,6,26,8,1,59,3,0,4,8,0,0,0.245,0.271,0.381,0.652,*5/HD
JonBerti,,bertijo01,287,70,1.6,0.3,1.5,0.278,2,2019,29,MIA,NL,73,256,52,70,14,1,6,24,24,0,73,6,0,1,2,17,3,0.273,0.348,0.406,0.755,685/H79
WilmerFlores,,florewi01,285,59,0.9,-0.3,1.3,0.001,7,2019,27,ARI,NL,89,265,31,84,18,0,9,37,15,0,31,4,0,1,9,0,0,0.317,0.361,0.487,0.848,*4H3
JuanLagares,,lagarju01,285,60,-0.8,-0.3,-0.4,-0.84,-13,2019,30,NYM,NL,133,258,38,55,12,1,5,27,22,4,75,2,2,1,8,4,1,0.213,0.279,0.326,0.605,*8H
JoseOsuna,,osunajo01,285,67,-0.1,-0.8,0.5,0.186,0,2019,26,PIT,NL,95,261,41,69,20,0,10,36,18,0,48,1,0,4,6,0,0,0.264,0.31,0.456,0.766,3H95/71
MitchHaniger,,hanigmi01,283,63,1.3,0.1,1.2,0.737,4,2019,28,SEA,AL,63,246,46,54,13,1,15,32,30,1,81,5,0,2,3,4,0,0.22,0.314,0.463,0.778,*98/HD
DylanMoore,,mooredy01,282,50,0.1,0,0.1,-1.21,-4,2019,26,SEA,AL,113,247,31,51,14,2,9,28,25,0,93,9,1,0,6,11,9,0.206,0.302,0.389,0.691,674H59/3D81
StevenDuggar,,duggast01,281,50,-0.1,0.5,-0.6,-0.747,-13,2019,25,SFG,NL,73,261,26,61,12,2,4,28,16,0,78,1,0,3,1,1,4,0.234,0.278,0.341,0.619,*89/H
IanKinsler,,kinslia01,281,41,-0.4,0,-0.3,-1.095,-11,2019,37,SDP,NL,87,258,28,56,12,0,9,22,19,0,54,3,0,1,5,2,4,0.217,0.278,0.368,0.646,*4H/1
TomMurphy,,murphto04,281,54,2.7,1,2.1,0.128,10,2019,28,SEA,AL,75,260,32,71,12,1,18,40,19,0,87,1,0,1,0,2,0,0.273,0.324,0.535,0.858,*2/DH17
StephenVogt,,vogtst01,280,60,1.2,0.1,1.5,-0.1,5,2019,34,SFG,NL,99,255,30,67,24,2,10,40,20,1,66,1,0,4,1,3,1,0.263,0.314,0.49,0.804,*2H/7D3
VictorCaratini,,caratvi01,279,54,1,0,1.3,-0.533,2,2019,25,CHC,NL,95,244,31,65,11,0,11,34,29,0,59,3,0,3,6,1,0,0.266,0.348,0.447,0.794,*23H/15
CoreyDickerson,,dickeco01,279,80,0.7,-0.9,1.4,0.793,12,2019,30,TOT,NL,78,260,33,79,28,2,12,59,16,4,56,0,0,3,4,1,0,0.304,0.341,0.565,0.906,*7H
TonyKemp,,kempto01,279,52,0.2,0.5,-0.4,0.063,-10,2019,27,TOT,ML,110,245,31,52,9,4,8,29,23,1,47,6,1,4,4,4,4,0.212,0.291,0.38,0.671,4H78/D9
JoshNaylor,,naylojo01,279,53,0,-0.8,0.5,0.274,-3,2019,22,SDP,NL,94,253,29,63,15,0,8,32,25,1,64,0,0,1,4,1,1,0.249,0.315,0.403,0.719,79H/D
TylerWhite,,whitety01,279,38,-1.1,-0.4,-1.1,-1.662,-12,2019,28,TOT,ML,83,240,18,50,14,0,3,23,36,0,78,0,0,3,7,0,0,0.208,0.308,0.304,0.612,*3DH/1
BillyMcKinney,,mckinbi01,276,53,0.2,-0.4,-6,0.2,-1.958,2019,24,TOR,AL,84,251,37,54,14,1,12,28,19,0,73,2,2,2,0,0,2,0.215,0.274,0.422,0.696,*97H/3D
JasonCastro,,castrja01,275,56,1.4,-0.2,1,0.7,-0.604,2019,32,MIN,AL,79,237,39,55,9,0,13,30,33,0,88,3,1,1,0,0,0,0.232,0.332,0.435,0.767,*2/H
JordyMercer,,mercejo03,271,37,1.2,-0.3,-3,0.6,-0.246,2019,32,DET,AL,74,256,24,69,16,0,9,22,13,1,57,2,0,0,4,0,0,0.27,0.31,0.438,0.747,*6/43HD5
TravisShaw,,shawtr01,270,31,-1.2,0.1,-19,-1.2,-1.958,2019,29,MIL,NL,86,230,22,36,5,0,7,16,36,3,89,4,0,0,5,0,0,0.157,0.281,0.27,0.551,*5H/34
CameronMaybin,,maybica01,269,69,1.5,-0.2,10,1.6,-0.309,2019,32,NYY,AL,82,239,48,68,17,0,11,32,30,0,72,0,0,0,5,9,6,0.285,0.364,0.494,0.858,*79/H8D
MattBeaty,,beatyma01,268,73,0.5,-0.6,1,0.4,1.543,2019,26,LAD,NL,99,249,36,66,19,1,9,46,17,2,33,2,0,0,6,5,0,0.265,0.317,0.458,0.775,37H/5D9
AustinNola,,nolaau01,267,58,1.2,-0.1,6,1.4,0.26,2019,29,SEA,AL,79,238,37,64,12,1,10,31,23,1,63,4,1,1,8,1,0,0.269,0.342,0.454,0.796,*34/25H79
LeonysMartÃ­n,,martile01,264,42,-0.3,0.2,-15,-0.2,-0.871,2019,31,CLE,AL,65,236,32,47,7,0,9,19,21,0,78,4,3,0,1,4,5,0.199,0.276,0.343,0.619,*8
JoeyWendle,,wendljo01,263,48,0.4,0.7,-10,0.8,-0.888,2019,29,TBR,AL,75,238,32,55,13,2,3,19,14,0,47,8,0,3,4,8,3,0.231,0.293,0.34,0.633,*456/H9
AndrewMcCutchen,,mccutan01,262,64,1.3,0.2,6,1.6,1.123,2019,32,PHI,NL,59,219,45,56,12,1,10,29,43,0,55,0,0,0,1,2,1,0.256,0.378,0.457,0.834,*78/D
JordanLuplow,,luplojo01,261,65,1.7,0.1,13,2,1.039,2019,25,CLE,AL,85,225,42,62,15,1,15,38,33,0,61,2,0,1,7,3,2,0.276,0.372,0.551,0.923,97H/8D
PhilErvin,,ervinph01,260,46,0.4,0.3,0,1,-0.56,2019,26,CIN,NL,94,236,30,64,11,7,7,23,18,0,63,4,0,2,4,4,3,0.271,0.331,0.466,0.797,*7H89
MartinPrado,,pradoma01,260,39,-1.4,-0.2,-17,-1.3,-0.679,2019,35,MIA,NL,104,245,26,57,9,0,2,15,12,0,41,0,0,3,10,0,0,0.233,0.265,0.294,0.559,H35/D
JoshVanMeter,,vanmejo01,260,48,0.2,-0.2,-4,0.3,-0.729,2019,24,CIN,NL,95,228,33,54,13,1,8,23,29,0,56,2,0,1,5,9,3,0.237,0.327,0.408,0.735,7H43/5D9
GregAllen,,allengr01,256,53,-0.2,0.4,-12,0.5,-0.998,2019,26,CLE,AL,89,231,30,53,9,3,4,27,11,1,53,9,4,1,3,8,2,0.229,0.29,0.346,0.636,*7H89
JustinUpton,,uptonju01,256,62,0.3,-1.4,-2,-0.9,-0.268,2019,31,LAA,AL,63,219,34,47,8,0,12,40,32,0,78,0,0,5,5,1,1,0.215,0.309,0.416,0.724,*7/DH
AaronHicks,,hicksaa01,255,65,1.3,0.1,2,1.3,1.984,2019,29,NYY,AL,59,221,41,52,10,0,12,36,31,0,72,0,0,3,2,1,2,0.235,0.325,0.443,0.769,*8/HD
BrandonNimmo,,nimmobr01,254,55,1.1,-0.5,7,0.7,0.816,2019,26,NYM,NL,69,199,34,44,11,1,8,29,46,2,71,5,1,3,1,3,0,0.221,0.375,0.407,0.783,*8*7/H9
WelingtonCastillo,,castiwe01,251,48,0,-0.1,-7,-0.2,0.68,2019,32,CHW,AL,72,230,19,48,12,0,12,41,16,0,74,3,0,2,8,0,0,0.209,0.267,0.417,0.684,*2D/H
TimLocastro,,locasti01,250,54,0.8,-0.2,-4,0.8,0.731,2019,26,ARI,NL,91,212,38,53,12,2,1,17,14,0,44,22,1,1,1,17,0,0.25,0.357,0.34,0.697,7H98
RussellMartin,,martiru01,249,43,0.6,0.4,-5,0.7,0.824,2019,36,LAD,NL,83,209,29,46,5,0,6,20,30,3,60,8,0,2,1,1,0,0.22,0.337,0.33,0.667,*2H/51
LuisUrias,,uriaslu01,249,47,0.6,0.3,-7,0.6,-0.701,2019,22,SDP,NL,71,215,27,48,8,1,4,24,25,0,56,9,0,0,8,0,1,0.223,0.329,0.326,0.655,*64/H5
LewisBrinson,,brinsle01,248,30,-1.8,-0.1,-25,-2,-2.749,2019,25,MIA,NL,75,226,15,39,9,1,0,15,13,1,74,6,2,1,8,1,1,0.173,0.236,0.221,0.457,*89/H
JohanCamargo,,camarjo01,248,56,-0.4,-0.2,-12,-0.6,-0.489,2019,25,ATL,NL,98,232,31,54,12,1,7,32,15,2,43,0,1,0,5,1,0,0.233,0.279,0.384,0.663,H657/943D
AdamEngel,,engelad01,248,46,0.4,0.4,-6,0.6,-0.34,2019,27,CHW,AL,89,227,26,55,10,2,6,26,14,0,78,6,1,0,5,3,3,0.242,0.304,0.383,0.687,*8/H
RyanCordell,,cordery01,247,39,-0.4,-0.3,-8,-0.6,0.077,2019,27,CHW,AL,97,217,22,48,8,0,7,24,19,0,69,3,6,2,2,3,1,0.221,0.29,0.355,0.645,*98H/7
AledmysDÃ­az,,diazal02,247,67,1.3,-0.3,5,1.1,0.163,2019,28,HOU,AL,69,210,36,57,12,1,9,40,26,1,28,5,0,6,10,2,0,0.271,0.356,0.467,0.823,345H/67D
ClintFrazier,,frazicl01,246,57,0.8,-1,4,0.1,0.373,2019,24,NYY,AL,69,225,31,60,14,0,12,38,16,1,70,2,0,3,2,1,2,0.267,0.317,0.489,0.806,*97D/H
HernanPerez,,perezhe01,246,39,-0.5,0.5,-13,-0.1,-1.337,2019,28,MIL,NL,91,232,29,53,11,0,8,18,11,0,66,0,2,1,9,5,1,0.228,0.262,0.379,0.642,46H5/9371
JeffMathis,,mathije01,244,27,-1.9,0.9,-31,-1.5,-2.304,2019,36,TEX,AL,86,228,17,36,9,0,2,12,15,1,87,0,0,1,2,1,0,0.158,0.209,0.224,0.433,*2/1
FranciscoMejia,,mejiafr01,244,41,1,0,-1,0.6,-0.218,2019,23,SDP,NL,79,226,27,60,11,2,8,22,13,1,56,4,0,1,6,1,1,0.265,0.316,0.438,0.754,*2H/7D
AustinBarnes,,barneau01,242,48,0.1,0.5,-10,0.2,-1.218,2019,29,LAD,NL,75,212,28,43,12,1,5,25,23,3,56,5,0,2,8,3,0,0.203,0.293,0.34,0.633,*2H/4
AdamHaseley,,haselad01,242,51,0.4,1.3,-5,1.8,-0.535,2019,23,PHI,NL,67,222,30,59,14,0,5,26,14,1,60,5,1,0,7,4,0,0.266,0.324,0.396,0.72,*879/H
AddisonRussell,,russead02,241,39,0.1,0.4,-7,0.2,-0.67,2019,25,CHC,NL,82,215,25,51,4,1,9,23,20,2,58,3,1,2,7,2,0,0.237,0.308,0.391,0.699,*46/H
GordonBeckham,,beckhgo01,240,38,-0.1,-0.8,-11,-1,-2.324,2019,32,DET,AL,83,223,29,48,13,2,6,15,13,0,68,4,0,0,6,3,1,0.215,0.271,0.372,0.643,4H6D/53
AustinRomine,,rominau01,240,56,0.8,0.3,-1,0.7,0.872,2019,30,NYY,AL,72,228,29,64,12,0,8,35,10,0,50,0,1,1,7,1,1,0.281,0.31,0.439,0.748,*2/H1
MatthewJoyce,,joycema01,238,48,1.3,-0.8,7,0.7,0.763,2019,34,ATL,NL,129,200,32,59,10,0,7,23,38,0,45,0,0,0,3,0,0,0.295,0.408,0.45,0.858,*H9/D7
DanielRobertson,,roberda10,237,40,-0.1,0,-10,-0.3,-0.582,2019,25,TBR,AL,74,207,23,44,9,1,2,19,24,0,59,6,0,0,10,2,2,0.213,0.312,0.295,0.607,*546/H1
EhireAdrianza,,adriaeh01,236,51,1.2,-0.3,1,0.8,0.274,2019,29,MIN,AL,83,202,34,55,8,3,5,22,20,1,40,6,2,4,2,0,2,0.272,0.349,0.416,0.765,653H/4971
CurtCasali,,casalcu01,236,48,0.8,0.8,-3,1.2,-0.424,2019,30,CIN,NL,84,207,24,52,9,0,8,32,25,1,59,1,0,3,1,0,0,0.251,0.331,0.411,0.741,*2H/3D
GuillermoHeredia,,heredgu01,231,46,0,0.3,-6,0.3,-0.756,2019,28,TBR,AL,89,204,31,46,13,0,5,20,18,0,60,6,2,1,4,2,2,0.225,0.306,0.363,0.668,89H7/D
EnderInciarte,,inciaen01,230,49,0.7,0,-3,0.6,0.865,2019,28,ATL,NL,65,199,30,49,11,2,5,24,26,2,41,4,0,1,1,7,1,0.246,0.343,0.397,0.74,*8/H
KeonBroxton,,broxtke01,228,34,-1.1,0.4,-18,-0.7,-2.375,2019,29,TOT,ML,100,204,24,34,4,0,6,16,20,0,104,1,1,2,5,10,6,0.167,0.242,0.275,0.517,*87H/9D
JakeCave,,caveja01,228,45,1,-0.3,4,0.8,-0.232,2019,26,MIN,AL,72,198,28,51,11,2,8,25,21,0,71,8,0,1,5,0,0,0.258,0.351,0.455,0.805,*987/HD
DonovanSolano,,solando01,228,46,1.6,0,5,1.4,1.182,2019,31,SFG,NL,81,215,27,71,13,1,4,23,10,0,49,1,0,2,4,0,1,0.33,0.36,0.456,0.815,4H6/5D
JakeLamb,,lambja01,226,50,0.1,0,-6,0.2,1.073,2019,28,ARI,NL,78,187,26,36,8,2,6,30,32,1,55,5,0,2,4,1,0,0.193,0.323,0.353,0.676,53H/D
AristidesAquino,,aquinar01,225,59,1.1,0.1,6,1.4,0.036,2019,25,CIN,NL,56,205,31,53,8,0,19,47,16,2,60,2,0,2,5,7,0,0.259,0.316,0.576,0.891,*9/H3
GraysonGreiner,,greingr01,224,32,-0.5,0.2,-17,-0.7,-1.879,2019,26,DET,AL,58,208,18,42,5,1,5,19,13,0,70,1,1,1,5,0,0,0.202,0.251,0.308,0.559,*2
IsiahKiner-Falefa,,kineris01,222,43,-0.2,0.4,-13,-0.1,-0.544,2019,24,TEX,AL,65,202,23,48,12,1,1,21,14,0,49,4,1,1,9,3,0,0.238,0.299,0.322,0.62,*25/HD
AdeinyHechavarria,,hechaad01,221,58,1,0.2,-2,0.9,1.617,2019,30,TOT,NL,84,203,34,49,12,1,9,33,14,0,48,3,0,1,3,3,1,0.241,0.299,0.443,0.742,46H/5D
MikeFreeman,,freemmi01,213,47,1,0.4,0,1.2,-0.263,2019,31,CLE,AL,75,177,27,49,8,0,4,24,22,0,61,4,6,4,2,1,2,0.277,0.362,0.39,0.752,4H5/67D1
BoBichette,,bichebo01,212,42,1.8,0.6,13,2.3,0.298,2019,21,TOR,AL,46,196,32,61,18,0,11,21,14,0,50,1,0,1,2,4,4,0.311,0.358,0.571,0.93,*6/D
KevanSmith,,smithke04,211,36,0.7,0.2,-3,0.6,-1.022,2019,31,LAA,AL,67,191,21,48,12,0,5,20,16,0,37,3,0,1,8,2,0,0.251,0.318,0.393,0.71,*2/HD
IldemaroVargas,,vargail01,211,43,0.4,0.4,-6,0.7,-1.018,2019,27,ARI,NL,92,201,25,54,9,1,6,24,9,0,24,0,0,1,6,1,0,0.269,0.299,0.413,0.712,*4H5/679
JacobStallings,,stallja01,210,33,0.5,1.4,-4,1.5,-1.247,2019,29,PIT,NL,71,191,26,50,5,0,6,13,16,5,40,2,1,0,3,0,0,0.262,0.325,0.382,0.708,*2H/1
WilliansAstudillo,,astudwi01,204,45,0,0.1,-6,0.1,-0.144,2019,27,MIN,AL,58,190,28,51,9,0,4,21,5,0,8,5,0,4,6,0,0,0.268,0.299,0.379,0.678,235/H974D
AlexAvila,,avilaal01,201,37,0.7,1,1,1.4,-1.015,2019,32,ARI,NL,63,164,22,34,8,0,9,24,36,7,68,1,0,0,8,1,0,0.207,0.353,0.421,0.774,*2/H1
IsanDiaz,,diazis01,201,35,-0.6,0,-13,-0.8,-0.252,2019,23,MIA,NL,49,179,17,31,5,2,5,23,19,0,59,2,0,1,2,0,3,0.173,0.259,0.307,0.566,*4/H
TyFrance,,francty01,201,37,0.1,-0.4,-5,-0.3,-0.566,2019,24,SDP,NL,69,184,20,43,8,1,7,24,9,0,49,7,0,1,8,0,2,0.234,0.294,0.402,0.696,*5H4/13
KendrysMorales,,moralke01,201,26,-0.9,-0.5,-10,-1,-0.871,2019,36,TOT,AL,53,170,16,33,2,1,2,12,26,0,26,4,0,1,6,0,0,0.194,0.313,0.253,0.566,*3D/H1
ChanceSisco,,siscoch01,198,41,0.7,-0.3,-1,0,-0.839,2019,24,BAL,AL,59,167,29,35,7,0,8,20,22,0,61,9,0,0,5,0,1,0.21,0.333,0.395,0.729,*2/HD3
KyleFarmer,,farmeky01,197,40,0.2,0.3,-8,0.4,-1.118,2019,28,CIN,NL,97,183,22,42,6,0,9,27,10,1,59,3,0,1,1,4,1,0.23,0.279,0.41,0.689,4H325/61D
DominicSmith,,smithdo02,197,49,0.9,-0.6,9,0.7,0.088,2019,24,NYM,NL,89,177,35,50,10,0,11,25,19,0,44,1,0,0,5,1,2,0.282,0.355,0.525,0.881,H37/9
BubbaStarling,,starlbu01,197,34,-0.7,-0.2,-14,-0.8,-2.072,2019,26,KCR,AL,56,186,26,40,7,0,4,12,9,0,56,1,1,0,4,2,0,0.215,0.255,0.317,0.572,*89/7H
ChrisOwings,,owingch01,196,24,-1.3,0.5,-23,-0.9,-1.926,2019,27,TOT,AL,66,180,13,25,6,1,3,14,14,0,78,2,0,0,2,5,2,0.139,0.209,0.233,0.443,4H56/8971D
WillSmith,,smithwi05,196,57,1.7,0.4,9,1.7,0.95,2019,24,LAD,NL,54,170,30,43,9,0,15,42,18,1,52,5,0,3,3,2,0,0.253,0.337,0.571,0.907,*2/HD
DanielDescalso,,descada01,194,33,-0.9,-0.1,-16,-1.1,-0.339,2019,32,CHC,NL,82,168,20,29,5,1,2,15,23,0,57,0,1,1,3,2,1,0.173,0.271,0.25,0.521,*4H/5D31
AustinSlater,,slateau01,192,36,0.7,-0.3,0,0.6,0.215,2019,26,SFG,NL,68,168,20,40,9,3,5,21,22,1,59,2,0,0,1,1,0,0.238,0.333,0.417,0.75,*9H/374
SandyLeon,,leonsa01,191,28,-0.2,0,-15,-0.6,-0.993,2019,30,BOS,AL,65,172,14,33,3,0,5,19,13,0,47,1,4,1,0,0,0,0.192,0.251,0.297,0.548,*2/3HD
AlexDickerson,,dickeal01,190,51,0.7,-0.2,4,0.7,0.354,2019,29,TOT,NL,68,174,29,48,13,3,6,28,13,1,42,2,0,1,5,1,1,0.276,0.332,0.489,0.82,*7H/9
RyanZimmerman,,zimmery01,190,41,0,0,-4,0.2,-0.889,2019,34,WSN,NL,52,171,20,44,9,0,6,27,17,0,39,0,0,2,4,0,0,0.257,0.321,0.415,0.736,*3/HD
AustinDean,,deanau01,189,32,-0.4,-1,-7,-1.2,-0.753,2019,25,MIA,NL,64,178,17,40,14,0,6,21,9,1,47,0,1,1,5,0,2,0.225,0.261,0.404,0.665,*7H/39
JoeyRickard,,rickajo01,189,21,0.2,0.2,-5,0.5,-0.564,2019,28,TOT,ML,68,168,14,38,9,2,3,10,18,1,50,3,0,0,1,4,2,0.226,0.312,0.357,0.669,798H/D
RyonHealy,,healyry01,187,43,0.5,-0.4,1,0,-0.754,2019,27,SEA,AL,47,169,24,40,16,0,7,26,13,0,40,1,0,4,1,0,0,0.237,0.289,0.456,0.744,*53
TravisDemeritte,,demertr01,186,31,-0.4,-1,-9,-1.2,-0.847,2019,24,DET,AL,48,169,24,38,7,2,3,10,14,0,63,1,1,1,3,3,0,0.225,0.286,0.343,0.63,*9/H
DavidFreese,,freesda01,186,53,1.5,-0.3,15,1.5,1.644,2019,36,LAD,NL,79,162,35,51,13,0,11,29,23,0,44,1,0,0,7,0,0,0.315,0.403,0.599,1.002,*3H/D5
JungHoKang,,kangju01,185,29,-0.1,-0.4,-11,-0.7,0.061,2019,32,PIT,NL,65,172,15,29,7,1,10,24,11,0,60,1,0,1,4,0,0,0.169,0.222,0.395,0.617,*5H6
TrentGrisham,,grishtr01,183,42,0.2,0.3,-2,0.6,-0.287,2019,22,MIL,NL,51,156,24,36,6,2,6,24,20,0,48,4,0,3,3,1,0,0.231,0.328,0.41,0.738,879H
MattWieters,,wietema01,183,31,0.2,0.5,-6,0.5,-0.413,2019,33,STL,NL,67,168,15,36,4,0,11,27,12,0,47,1,0,2,3,1,1,0.214,0.268,0.435,0.702,*2H
JonJay,,jayjo02,182,21,-0.1,-0.9,-7,-0.8,-0.717,2019,34,CHW,AL,47,165,12,44,8,0,0,9,8,0,30,3,5,1,1,0,0,0.267,0.311,0.315,0.626,*97/HD
YairoMunoz,,munozya01,181,31,-0.1,-0.4,-8,-0.6,-0.056,2019,24,STL,NL,88,172,20,46,7,1,2,13,7,0,37,1,0,1,5,8,3,0.267,0.298,0.355,0.653,H5697/84
TylerAustin,,austity01,179,45,0.3,-0.2,-3,0.4,0.4,2019,27,TOT,ML,89,154,30,29,5,1,9,24,24,1,67,0,0,1,2,2,0,0.188,0.296,0.409,0.705,*H37/9D
MannyPina,,pinama01,179,28,0.4,0.6,-3,0.8,-1.393,2019,32,MIL,NL,76,158,10,36,8,0,7,25,16,1,50,4,0,1,1,0,0,0.228,0.313,0.411,0.724,*2H/5
BenZobrist,,zobribe01,176,40,-0.1,-0.2,-4,-0.3,0.384,2019,38,CHC,NL,47,150,24,39,5,0,1,17,23,0,24,1,0,2,6,0,0,0.26,0.358,0.313,0.671,*49/7H61D
EduardoNunez,,nunezed02,174,31,-0.7,-0.9,-15,-1.6,-2.338,2019,32,BOS,AL,60,167,13,38,7,0,2,20,4,0,27,0,1,2,6,5,1,0.228,0.243,0.305,0.548,*4HD/561
KevinPlawecki,,plaweke01,174,27,0.1,0.1,-8,-0.1,-1.282,2019,28,CLE,AL,59,158,13,35,10,0,3,17,12,0,31,3,0,1,4,0,1,0.222,0.287,0.342,0.629,*2/H13D
JustinBour,,bourju01,170,36,-0.6,-0.1,-8,-0.4,-0.884,2019,31,LAA,AL,52,151,18,26,5,0,8,26,17,0,52,1,0,1,7,0,0,0.172,0.259,0.364,0.623,*3H/D
NateLowe,,lowena01,170,36,0.6,-0.4,2,0.4,0.193,2019,23,TBR,AL,50,152,24,40,8,0,7,19,13,0,50,2,0,2,4,0,0,0.263,0.325,0.454,0.779,3DH/5
BradMiller,,millebr02,170,38,1.2,0.3,5,1.5,0.121,2019,29,TOT,ML,79,154,26,40,6,1,13,25,15,0,45,1,0,0,2,2,0,0.26,0.329,0.565,0.894,H574/69
MattDuffy,,duffyma01,169,23,0.3,-0.1,-3,0.1,-0.104,2019,28,TBR,AL,46,147,12,37,8,0,1,12,19,0,29,2,0,1,4,0,1,0.252,0.343,0.327,0.67,*5/6
